Price,Close,High,Low,Open,Volume
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
Date,,,,,
31-03-2020,181.6367645,183.1592413,173.5168558,177.1615835,59543412
01-04-2020,172.1327972,179.4683919,170.9332628,179.0070336,52954239
03-04-2020,161.9367676,173.6552659,161.4754093,173.0555057,64448494
07-04-2020,171.9943695,172.8248229,163.8744746,170.1489363,72130500
08-04-2020,168.8571472,179.3761114,166.5042169,168.7648699,80435759
09-04-2020,173.2400513,175.3161637,169.4107828,173.4707304,62416005
13-04-2020,169.318512,174.1166359,168.9494309,172.3634798,51847146
15-04-2020,168.2574005,177.1154726,166.2274125,172.5480277,72190004
16-04-2020,173.9320679,175.2238654,166.3196564,167.9344104,61165773
17-04-2020,178.3149719,182.6978755,171.9020948,180.8524424,89851063
20-04-2020,177.6229706,182.0981524,175.3623174,179.0070457,81958510
21-04-2020,170.4718933,173.6552628,168.8571392,173.4707223,53042420
22-04-2020,174.1166382,174.8548144,167.3346789,171.1639476,61503413
23-04-2020,172.2711945,175.2238849,170.8409808,173.2400497,50955312
24-04-2020,165.8582916,169.7798368,165.1662542,169.7798368,65137305
27-04-2020,166.9194183,169.318487,166.5503373,169.318487,42996571
28-04-2020,170.0566864,171.0255417,167.1962591,167.9344352,49590230
29-04-2020,175.408432,176.9770474,169.3184968,170.7025717,57470466
30-04-2020,175.7774963,180.7601599,175.0393203,178.5456459,63063889
04-05-2020,165.0278625,169.3184889,164.2435478,168.3496337,58118177
05-05-2020,157.2308807,167.2423601,155.7545428,167.0116809,91050439
06-05-2020,157.8768311,159.906805,153.6784673,157.9229556,73156432
07-05-2020,157.5538635,159.2147563,155.7545689,157.6461408,42942399
08-05-2020,153.7707214,160.3681538,153.2632386,159.1224807,55932236
11-05-2020,152.6634674,155.846837,152.2482477,154.970259,54591827
12-05-2020,154.0014038,155.4777561,148.4189793,151.5100717,70752542
13-05-2020,160.6449738,164.75106,157.3231882,164.75106,81720683
14-05-2020,154.9702454,158.4765711,154.5550257,157.7383951,48136531
15-05-2020,153.5400391,155.2470704,151.9714236,154.9702526,35495540
18-05-2020,143.2978973,153.5400436,143.0210795,153.5400436,77349435
19-05-2020,140.9911041,145.6508259,140.622009,145.3278695,71522334
20-05-2020,141.5447235,143.2517549,139.4686111,141.1756425,66168767
21-05-2020,140.2068024,144.0822098,139.7915827,141.775418,61147471
22-05-2020,139.1917877,143.574691,137.8999762,140.252906,87064198
26-05-2020,139.699295,141.3601878,138.5920379,140.6220117,48275988
27-05-2020,146.3428497,148.3728233,139.1456579,140.2067763,88195120
28-05-2020,145.9737701,149.8491772,144.5896952,147.1271659,76968678
29-05-2020,148.834198,149.3878195,143.2056208,144.0360742,58363280
01-06-2020,156.9079742,158.1536333,150.7257753,151.3255355,92740893
02-06-2020,157.0924988,158.061354,154.2782104,156.7695423,70419104
03-06-2020,161.3831177,165.9967004,158.7072453,159.1686036,113168889
04-06-2020,160.5988312,163.9206026,158.245901,161.3831319,83494674
05-06-2020,173.2861938,175.1316272,162.3981343,162.9056313,201321234
08-06-2020,172.3634644,182.2365292,171.4407478,181.7751709,151741826
09-06-2020,170.1950684,176.2388647,169.1800886,173.1938972,96654191
10-06-2020,173.1939087,174.3934431,169.5953195,170.2873569,67333317
11-06-2020,163.4592285,175.6852226,162.7210666,173.4707086,91726802
12-06-2020,165.3046722,166.088987,156.6772805,156.861821,92758901
15-06-2020,160.2758484,164.1051302,158.7072332,164.1051302,63613412
16-06-2020,159.5376892,165.1201273,156.3081812,164.2435493,63925976
17-06-2020,159.583847,162.5826763,156.1697981,157.7845523,73866905
18-06-2020,165.7660217,166.6887383,157.8768065,159.0763268,58261857
19-06-2020,170.2412109,170.6564306,165.627628,166.3658041,76895151
22-06-2020,173.1939087,176.9309139,170.0105391,170.7025766,80023958
23-06-2020,177.5768127,178.176587,173.3323247,174.9470788,65487085
24-06-2020,170.3335114,179.8374823,169.6875984,179.745219,74668987
25-06-2020,170.9332581,172.3634717,166.4580767,168.1189695,73620385
26-06-2020,170.3335114,174.0243782,169.5953352,173.4707426,49176958
29-06-2020,165.3969574,168.9494221,164.7049199,168.8571448,50966428
30-06-2020,164.6587677,168.7648536,163.5515106,167.103975,43613239
01-07-2020,170.5180206,171.0716421,164.7971809,165.5814815,54012853
02-07-2020,171.1177826,173.4707126,169.7798464,171.3023231,52127276
03-07-2020,170.425766,172.4096153,169.2262315,172.2250607,38048810
06-07-2020,173.516861,175.1777537,171.763691,172.1789247,43773740
07-07-2020,174.024353,174.5779745,169.8259898,172.5480009,55124494
08-07-2020,177.0693054,182.1903852,173.8397974,174.3011557,143063102
09-07-2020,183.7128906,185.4660466,177.6690938,177.8997729,89539723
10-07-2020,180.4833832,186.8501225,179.745207,182.6978975,111406477
13-07-2020,177.8074799,184.3587731,176.7925001,183.4360566,61949761
14-07-2020,171.6714172,177.4383957,170.3334811,177.4383957,62239932
15-07-2020,169.5953064,175.2700076,168.8571303,173.4245745,58527305
16-07-2020,171.8559418,172.5018405,167.6114404,170.7025462,46546803
17-07-2020,173.6552582,174.8547926,170.7025679,172.3634606,47035238
20-07-2020,176.0081787,178.31497,174.1627456,175.3161413,45672856
21-07-2020,179.3760986,181.0369913,176.7002262,177.5768041,59281860
22-07-2020,177.1615906,181.5444945,175.4084346,180.5756392,62276152
23-07-2020,182.9285583,183.7128731,176.3772651,177.5306608,70801412
24-07-2020,177.115448,181.1292708,175.9159136,180.5756352,65265493
27-07-2020,172.6864014,178.2688395,172.0866412,178.084299,50697767
28-07-2020,174.8086548,175.77751,171.3946062,173.4707185,51488617
29-07-2020,176.4234161,180.1604213,172.5480091,173.1016447,73763368
30-07-2020,172.1327972,178.5456753,171.6714389,177.6229586,48472816
31-07-2020,176.6540833,179.791328,172.2711796,173.4707139,145892485
03-08-2020,177.3922882,179.5606781,175.3623143,177.161609,72454278
04-08-2020,176.792511,178.8224847,175.7775171,178.4072651,43866676
05-08-2020,176.6540833,181.6367611,176.2388636,177.8536176,68888892
06-08-2020,176.1927185,179.468365,175.5468198,177.4383915,59740172
07-08-2020,175.9159241,177.2538745,174.9009442,176.6541002,44822338
10-08-2020,178.822464,180.3910793,176.8847537,177.0231696,48784530
11-08-2020,179.9758606,181.5906145,178.7763263,179.929722,43890305
12-08-2020,187.5882721,188.46485,179.5606412,180.8524387,157818228
13-08-2020,186.2964783,191.2791564,185.2353598,189.6182637,70443118
14-08-2020,181.3138275,188.2342026,179.5606715,187.3114859,56169088
17-08-2020,178.1765747,183.2976404,176.7002226,183.1130999,54787889
18-08-2020,180.0220032,180.6217633,176.8847585,178.8224689,46294169
19-08-2020,181.8213043,184.8201332,180.7601718,181.2215301,59296062
20-08-2020,179.6990662,181.1754184,178.3149912,179.0070287,37504602
21-08-2020,183.0669556,185.9273825,182.3749182,183.6205911,68041871
24-08-2020,185.8812561,187.1269291,183.2515222,184.5433199,53850253
25-08-2020,191.8789063,192.3402645,187.0346443,188.2341786,105394375
26-08-2020,193.6320801,194.0934384,190.2180175,192.3864071,66749637
27-08-2020,198.9838257,199.7681404,194.2318409,194.2318409,80997993
28-08-2020,207.4728394,208.4416806,200.0449677,200.2295082,95974037
31-08-2020,195.6159058,213.6550169,194.0934291,213.6550169,119986476
01-09-2020,201.2445068,201.9826689,194.8777535,196.6309236,75048313
02-09-2020,199.5374603,202.0749309,195.8927327,201.3828935,47608088
03-09-2020,196.6770325,201.3828926,195.8927318,200.6908552,38594129
04-09-2020,190.633255,195.8927368,189.9873421,193.7704858,54435758
07-09-2020,191.8327789,193.447533,189.5259874,191.4636979,35687359
08-09-2020,188.2803345,192.3864207,187.2192019,191.8327851,34146789
09-09-2020,179.7913208,185.8351028,177.6229313,185.5582991,72715826
10-09-2020,182.8362885,185.881256,180.1142773,182.4210688,67789617
11-09-2020,187.0346375,188.0957699,181.7751561,183.2053695,48487971
14-09-2020,183.1592407,190.2641556,182.0981223,189.9873378,63605531
15-09-2020,184.6817169,185.4660316,181.8674426,184.4510378,51761038
16-09-2020,182.882431,184.5894624,181.0831364,184.4049219,52404964
17-09-2020,180.3449554,182.6978856,179.9297358,181.775169,41223296
18-09-2020,177.71521,181.9596976,175.0393236,180.8524405,55286316
21-09-2020,171.4407501,178.5456653,170.0105366,178.1304456,57611375
22-09-2020,171.8098297,173.7475402,167.150108,171.7636911,51210889
23-09-2020,169.5953064,174.347291,167.0116972,173.609115,44320497
24-09-2020,162.7210846,167.7498875,161.9367698,167.1039886,46114798
25-09-2020,168.118988,168.6264851,162.5365489,165.1662973,46550127
28-09-2020,172.7786865,173.6091258,169.1800973,169.7798575,41921548
29-09-2020,170.748703,174.347292,169.0878104,173.9320723,35688726
30-09-2020,171.0716553,172.363467,168.3035054,170.7487129,37641083
01-10-2020,175.5929718,176.4234111,172.4557269,172.5480042,43588724
05-10-2020,174.1627655,178.8224873,172.59415,177.1615946,41694686
06-10-2020,176.792511,177.2538693,173.7475433,176.3311527,31098726
07-10-2020,175.9620514,178.2227042,174.4857133,177.6690827,34578053
08-10-2020,176.7002106,180.6678944,175.8236327,176.5618087,43351606
09-10-2020,182.9747009,183.4360592,175.8236474,177.1615836,64907230
12-10-2020,183.3437958,190.0334915,182.0058594,184.2665124,69122798
13-10-2020,180.5756378,184.5433221,180.0220163,183.297649,34948525
14-10-2020,184.5894775,185.3737783,178.1304607,179.0531774,40548275
15-10-2020,177.9459076,186.8501174,177.1615928,185.4660425,49184123
16-10-2020,180.8063202,181.5444963,176.7925113,179.0070256,36893126
19-10-2020,188.2341919,188.7878275,180.8985975,181.0369994,60220779
20-10-2020,187.3575897,188.557124,185.1892003,185.4660181,39316753
21-10-2020,188.0035095,191.2791563,183.4822038,188.8800875,54515523
22-10-2020,187.5882721,188.7878064,185.5582986,186.2964605,33721637
23-10-2020,187.1269531,189.7105627,185.9735572,188.2342104,32707020
